part,live_cycle,reorder_point,pulled_at,desc,supp,iclass,onhand,val,nsclass,status,lt,fc,hits,emails,crit,md,exp,obs,bo,rtarget,rstatus,ch_iclass
000.011.111,A,0.000000000,2026-08-25T12:49:02,Plate 5mm S235JRG2,BOLLEGRAAF RECYCLING SOLUTIONS,104,8.0,811.1,Non-stocked,Excess stock,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
000.011.124,A,0.000000000,2026-08-25T12:49:02,Steel plate,LUBO - NETHERLANDS,104,0.0,0.0,Non-stocked,Ok,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOLD,PENDING_REVIEW,METALS
000.011.160,P3,0.000000000,2026-08-25T12:49:02,Plate 60mm S235JRG2,BOLLEGRAAF RECYCLING SOLUTIONS,104,0.0,0.0,Non-stocked,Ok,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P3,YES,METALS
000.011.302,P3,0.000000000,2026-08-25T12:49:02,Perforated sheet c10u14 2mm S2,BOLLEGRAAF RECYCLING SOLUTIONS,104,4.0,647.08,Non-stocked,Excess stock,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
000.011.305,P3,0.000000000,2026-08-25T12:49:02,Perforated sheet c50 u60 3mm S,BOLLEGRAAF RECYCLING SOLUTIONS,104,0.0,0.0,Non-stocked,Ok,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P3,YES,METALS
000.011.600,P3,0.000000000,2026-08-25T12:49:02,Sendzimir plate 1000x1000x2mm,BOLLEGRAAF RECYCLING SOLUTIONS,104,0.0,0.0,Non-stocked,Ok,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
000.012.128,P3,0.000000000,2026-08-25T12:49:02,Flat bar 40*5mm/S235JRG2 $/mtr,BOLLEGRAAF RECYCLING SOLUTIONS,104,0.0,0.0,Non-stocked,Ok,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P3,YES,METALS
000.012.131,A,0.000000000,2026-08-25T12:49:02,Strip 40*6mm S355J0/mtr,BOLLEGRAAF RECYCLING SOLUTIONS,104,18.0,63.3708,Non-stocked,Excess stock,75.0,0.1667,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,
000.012.134,P3,0.000000000,2026-08-25T12:49:02,Flat bar 40x10,BOLLEGRAAF RECYCLING SOLUTIONS,104,0.0,0.0,Non-stocked,Ok,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P3,YES,METALS
000.012.144,A,0.000000000,2026-08-25T12:49:02,Flatbar 50 * 6mm S235JRG2,BOLLEGRAAF RECYCLING SOLUTIONS,104,15.0,61.17,Non-stocked,Excess stock,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
000.012.184,P3,0.000000000,2026-08-25T12:49:02,Flatbar 70 * 5mm S235JRG2,BOLLEGRAAF RECYCLING SOLUTIONS,104,0.0,0.0,Non-stocked,Ok,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P3,YES,METALS
000.012.206,A,0.000000000,2026-08-25T12:49:02,Flatbar 80*15mm S235JRG2 $/mtr,BOLLEGRAAF RECYCLING SOLUTIONS,117,0.0,0.0,Obsolete,Ok,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
