Part,Description,ItemClass,Supplier,CycleFrom,CycleTo,ReasonWord,ReasonDetail,ApprovedBy,DecidedOn,SourceSheet,OnHand,StockValue,ReorderPoint,SetReorderTo,SourceFile,LiveCycle,AppliedInAcumatica,LastCheckedAt
501.080.363,Starshaft440/2540/244.5/134.2D,STARSCREEN**,,A,P3,Discussed,Backorder re-verified with the service team. A -> P3. v9 said P1-OEM-STRATEGIC (yes :  v9 said P1).,Chris Bova + Service Team,2026-08-12,05_Backorder_Cycle_Changes,0.0,,0.0,,Cycle_Push_ABC_to_P3_and_Backorders_2026-08-12.xlsx,P3,YES,2026-08-31T07:45:28
501.080.380,Starshaft440/2540/244.5/134.2E,STARSCREEN**,,A,P3,Discussed,Backorder re-verified with the service team. A -> P3. v9 said P1-OEM-STRATEGIC (yes :  v9 said P1).,Chris Bova + Service Team,2026-08-12,05_Backorder_Cycle_Changes,0.0,,0.0,,Cycle_Push_ABC_to_P3_and_Backorders_2026-08-12.xlsx,P3,YES,2026-08-31T07:45:28
501.101.415,Starshaft 660/2540/273/115/FD,STARSCREEN**,,A,P3,Discussed,Backorder re-verified with the service team. A -> P3. v9 said P1-OEM-STRATEGIC (yes :  v9 said P1).,Chris Bova + Service Team,2026-08-12,05_Backorder_Cycle_Changes,0.0,,0.0,,Cycle_Push_ABC_to_P3_and_Backorders_2026-08-12.xlsx,P3,YES,2026-08-31T07:45:28
501.101.425,Starshaft 660/2540/273/115/FE,STARSCREEN**,,A,P3,Discussed,Backorder re-verified with the service team. A -> P3. v9 said P1-OEM-STRATEGIC (yes :  v9 said P1).,Chris Bova + Service Team,2026-08-12,05_Backorder_Cycle_Changes,0.0,,0.0,,Cycle_Push_ABC_to_P3_and_Backorders_2026-08-12.xlsx,P3,YES,2026-08-31T07:45:28
001.003.400,Starshaft D40 L1209 R Sq,STARSCREEN**,,C,P1,Discussed,Backorder re-verified with the service team. C -> P1. v9 said P1-ACTIVE-RP (no :  agrees with v9).,Chris Bova + Service Team,2026-08-12,05_Backorder_Cycle_Changes,2.0,,1.0,,Cycle_Push_ABC_to_P3_and_Backorders_2026-08-12.xlsx,P1,YES,2026-08-31T07:45:28
101.090.488,Tension Beam Needle Gantry t12,BALER**,,C,P1,Discussed,Backorder re-verified with the service team. C -> P1. v9 said P1-ACTIVE-RP (no :  agrees with v9).,Chris Bova + Service Team,2026-08-12,05_Backorder_Cycle_Changes,3.0,,2.0,,Cycle_Push_ABC_to_P3_and_Backorders_2026-08-12.xlsx,P1,YES,2026-08-31T07:45:28
SP-1319048,Spring Ds=19 Da=142.6 L=250,SPALECK**,,C,P1,Discussed,Backorder re-verified with the service team. C -> P1. v9 said P1-ACTIVE-RP (no :  agrees with v9).,Chris Bova + Service Team,2026-08-12,05_Backorder_Cycle_Changes,0.0,,4.0,,Cycle_Push_ABC_to_P3_and_Backorders_2026-08-12.xlsx,P1,YES,2026-08-31T07:45:28
000.027.288,Drum Feeder Lock Southco,HARDWARE**,,C,P2,Discussed,Backorder re-verified with the service team. C -> P2. v9 said P1-ACTIVE-RP (yes :  v9 said P1).,Chris Bova + Service Team,2026-08-12,05_Backorder_Cycle_Changes,0.0,,10.0,,Cycle_Push_ABC_to_P3_and_Backorders_2026-08-12.xlsx,P2,YES,2026-08-31T07:45:28
000.635.813,Backhold Finger universal,BALER**,,C,P2,Discussed,Backorder re-verified with the service team. C -> P2. v9 said P1-ACTIVE-RP (yes :  v9 said P1).,Chris Bova + Service Team,2026-08-12,05_Backorder_Cycle_Changes,0.0,,4.0,,Cycle_Push_ABC_to_P3_and_Backorders_2026-08-12.xlsx,P2,YES,2026-08-31T07:45:28
000.642.659,Seal for rollers black/blue d=,CONVEYOR**,,C,P2,Discussed,Backorder re-verified with the service team. C -> P2. v9 said P1-ACTIVE-RP (yes :  v9 said P1).,Chris Bova + Service Team,2026-08-12,05_Backorder_Cycle_Changes,0.0,,30.0,,Cycle_Push_ABC_to_P3_and_Backorders_2026-08-12.xlsx,P2,YES,2026-08-31T07:45:28
001.001.769,Element cylindrical 40mm Coupl,STARSCREEN**,,C,P2,Discussed,Backorder re-verified with the service team. C -> P2. v9 said P1-ACTIVE-RP (yes :  v9 said P1).,Chris Bova + Service Team,2026-08-12,05_Backorder_Cycle_Changes,8.0,,4.0,,Cycle_Push_ABC_to_P3_and_Backorders_2026-08-12.xlsx,P2,YES,2026-08-31T07:45:28
100.047.393,Rotary door handle NZM1-XTVD,ELECTRICAL**,,C,P2,Discussed,Backorder re-verified with the service team. C -> P2. v9 said P1-ACTIVE-RP (yes :  v9 said P1).,Chris Bova + Service Team,2026-08-12,05_Backorder_Cycle_Changes,0.0,,1.0,,Cycle_Push_ABC_to_P3_and_Backorders_2026-08-12.xlsx,P2,YES,2026-08-31T07:45:28
101.164.629,Guide roll inflection D150 n4,CONVEYOR**,,C,P2,Discussed,Backorder re-verified with the service team. C -> P2. v9 said P1-OEM-STRATEGIC (yes :  v9 said P1).,Chris Bova + Service Team,2026-08-12,05_Backorder_Cycle_Changes,1.0,,1.0,,Cycle_Push_ABC_to_P3_and_Backorders_2026-08-12.xlsx,P2,YES,2026-08-31T07:45:28
